,cand_id,cand_name,cand_pty_affliation,result,degreecentrality
0,H0AL020872014,"ROBY, MARTHA                                                                                                                                                                                            ",REP,1,0.000602253723023015
1,H0AL020872012,"ROBY, MARTHA                                                                                                                                                                                            ",REP,1,0.0005773672055427253
2,H0AL051632014,"BROOKS, MO                                                                                                                                                                                              ",REP,1,0.00011447798040933345
3,H0AL051632012,"BROOKS, MO                                                                                                                                                                                              ",REP,1,0.0008113004698574501
4,H0AL070862012,"SEWELL, TERRYCINA ANDREA                                                                                                                                                                                ",DEM,1,0.0005574579915584933
5,H0AL070862014,"SEWELL, TERRI A.                                                                                                                                                                                        ",DEM,1,0.00021402405033049297
6,H0AL071772012,"CHAMBERLAIN, DON                                                                                                                                                                                        ",REP,0,2.488651748028988e-05
7,H0AR010832014,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,1,0.0006769132754638848
8,H0AR010832012,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,1,0.0013090308194632476
9,H0AR021072012,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1,0.0011497571075893926
10,H0AR021072014,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1,0.00013438719439356534
11,H0AR030552014,"WOMACK, STEVE                                                                                                                                                                                           ",REP,1,0.0008511188978259139
12,H0AR030552012,"WOMACK, STEVE                                                                                                                                                                                           ",REP,1,0.0011845982320617982
13,H0AZ012592012,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,1,0.0001891375328502031
14,H0AZ012592014,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,1,4.977303496057976e-05
15,H0AZ013252014,"TOBIN, ANDY HON.                                                                                                                                                                                        ",REP,0,0.0007615274348968703
16,H0AZ032482012,"SCHARER, GENE PAUL                                                                                                                                                                                      ",DEM,0,
17,H0AZ033212012,"PARKER, VERNON                                                                                                                                                                                          ",REP,0,0.0007665047383929282
18,H0AZ033212014,"PARKER, VERNON                                                                                                                                                                                          ",REP,0,
19,H0AZ080562012,"PATON, JONATHAN                                                                                                                                                                                         ",REP,0,0.0006669586684717688
20,H0CA021382012,"REED, JAMES E                                                                                                                                                                                           ",DEM,0,0.00011945528390539141
21,H0CA030782012,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1,0.004240662578641395
22,H0CA030782014,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1,0.004340208648562554
23,H0CA061212012,"ROBERTS, DANIEL                                                                                                                                                                                         ",REP,0,6.968224894481167e-05
24,H0CA080692012,"DENNIS, JOHN                                                                                                                                                                                            ",REP,0,0.0002687743887871307
25,H0CA080692014,"DENNIS, JOHN                                                                                                                                                                                            ",REP,0,0.00019411483634626102
26,H0CA100732010,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,1,
27,H0CA100732014,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,1,0.00028868360277136264
28,H0CA101492012,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,1,0.0017121924026439438
29,H0CA101492014,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,1,0.0008660508083140878
30,H0CA113372014,"AMADOR, ANTONIO CANDIA                                                                                                                                                                                  ",REP,0,0.00013438719439356534
31,H0CA140752012,"CHAPMAN, DAVE                                                                                                                                                                                           ",DEM,0,
32,H0CA151482014,"HONDA, MIKE                                                                                                                                                                                             ",DEM,1,0.002075535557856176
