state,normalized
AK,443337.0
AL,792401.8571428572
AR,2074418.0
AZ,1852033.111111111
CA,1613881.7924528301
CO,2600213.285714286
CT,2129972.4
DE,664452.0
FL,1559580.7037037036
GA,1165999.0
HI,2045060.0
IA,1298149.0
ID,690257.5
IL,2083040.9444444445
IN,984320.1111111111
KS,1605309.25
KY,774554.1666666666
LA,1483017.0
MA,2549979.5555555555
MD,1571923.625
ME,1070833.0
MI,1632414.2857142857
MN,1358789.75
MO,1019235.625
MS,661676.0
MT,3474959.0
NC,779290.7692307692
ND,1944628.0
NE,157696.66666666666
NH,1951963.5
NJ,1217138.8333333333
NM,1607192.0
NV,1624847.5
NY,2215006.0
OH,1168788.9375
OK,1919172.2
OR,714935.8
PA,1102836.888888889
RI,891393.0
SC,793157.7142857143
SD,2323341.0
TN,1000208.8888888889
TX,1255345.638888889
UT,800301.75
VA,2593283.1818181816
VT,690362.0
WA,1065845.4
WI,712038.125
WV,1301802.3333333333
WY,824382.0
