AK,733248
AL,4935335
AR,17697844
AZ,20393553
CA,77747745
CO,22002675
CT,8807860
DE,419112
FL,37488628
GA,18815120
HI,6472846
IA,6886558
ID,1916867
IL,38022427
IN,9605514
KS,6746486
KY,5910628
LA,8116232
MA,31259950
MD,7712736
ME,2461626
MI,31804165
MN,13674957
MO,6656171
MS,2716454
MT,7689752
NC,11539145
ND,2124799
NH,6690414
NJ,12258423
NM,5272364
NV,5752655
NY,49645973
OH,20819461
OK,10006021
OR,4900921
PA,21121923
RI,2237182
SC,6124866
SD,2353473
TN,8529293
TX,36865949
UT,6372851
VA,20687671
VT,523144
WA,9662941
WI,10599530
WV,6201655
WY,146350
