state,normalized
AK,733248.0
AL,705047.8571428572
AR,4424461.0
AZ,2265950.3333333335
CA,1466938.5849056605
CO,3143239.285714286
CT,1761572.0
DE,419112.0
FL,1388467.7037037036
GA,1343937.142857143
HI,3236423.0
IA,1721639.5
ID,958433.5
IL,2112357.0555555555
IN,1067279.3333333333
KS,1686621.5
KY,985104.6666666666
LA,1352705.3333333333
MA,3473327.777777778
MD,964092.0
ME,1230813.0
MI,2271726.0714285714
MN,1709369.625
MO,832021.375
MS,679113.5
MT,7689752.0
NC,887626.5384615385
ND,2124799.0
NH,3345207.0
NJ,1021535.25
NM,1757454.6666666667
NV,1438163.75
NY,1838739.7407407407
OH,1301216.3125
OK,2001204.2
OR,980184.2
PA,1173440.1666666667
RI,1118591.0
SC,874980.8571428572
SD,2353473.0
TN,947699.2222222222
TX,1024054.1388888889
UT,1593212.75
VA,1880697.3636363635
VT,523144.0
WA,966294.1
WI,1324941.25
WV,2067218.3333333333
WY,146350.0
