AE,1000
AK,141573
AL,1459226
AP,1000
AR,798422
AS,13200
AZ,2685695
CA,24108588
CO,3005966
CT,4586588
DC,17203054
DE,398922
FL,13970142
GA,2507711
GU,11650
HI,284307
IA,458442
ID,337410
IL,8208345
IN,1193993
KS,1301227
KY,824637
LA,1760796
MA,6232447
MD,8896005
ME,545678
MI,2702283
MN,1761294
MO,2630174
MP,5500
MS,585964
MT,187580
NC,1564168
ND,338354
NE,473090
NH,600880
NJ,6145785
NM,611737
NV,2038193
NY,22862322
OH,3536372
OK,1796798
OR,686289
PA,4804100
PR,892518
RI,442580
SC,1502364
SD,317414
TN,1562167
TX,13863104
UT,1020160
VA,15962183
VI,125692
VT,423768
WA,2796595
WI,1192043
WV,592984
WY,735232
ZZ,39550
