state,donations
AL,847748
AR,10198594
AZ,6410950
CA,16320598
CO,6807148
CT,2744586
DE,153582
FL,9350091
GA,4998845
HI,2667033
IA,2152404
ID,873762
IL,8736035
IN,1940626
KS,1626476
KY,2087940
LA,978926
MA,14542581
MD,4033352
ME,865638
MI,11652648
MN,4565933
MO,1132460
MS,655714
MT,4402373
NC,2972533
ND,518525
NH,3387367
NJ,3798542
NM,1062525
NV,1291458
NY,12703133
OH,5655210
OK,2206958
OR,2012531
PA,6074959
RI,896976
SC,2075126
SD,347546
TN,1089580
TX,5536610
UT,4191804
VA,8123739
VT,256550
WA,1801082
WI,6095268
WV,2889232
WY,57200
